trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",30,0,-178.6953137713468,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,0,-124.07228284725305,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",25,0,-106.47586027298848,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,0,-130.73907275177345,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,7,-83.69854634598627,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",25,5,-45.219149506487945,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-268.00519089024704,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 5}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",25,0,-12.851749633304507,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",30,0,-34.81953784203627,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-82.99905266454562,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,14,12.890652105430018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-115.59192333400988,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",20,4,-109.06754372437226,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",25,0,-74.48807073355091,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",35,0,-195.57291878682733,"{0: 19, 1: 5, 2: 7, 3: 2, 4: 2}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-126.92406908703103,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",25,5,-42.59969152502478,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-101.23266173283803,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
